file,overall,pitch,rhythm,intS,intA,intT,intB,harmony,parallel,repeated
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_348.csv,92.4342,0.7723,0.9410,12.9084,12.7162,13.2603,10.9314,1.1982,10.2590,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_353.csv,92.6096,0.7654,0.9391,11.6589,13.6241,12.8942,13.4291,1.0980,8.7534,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_374.csv,93.0669,0.7849,0.9430,13.7697,15.0033,13.4289,13.0013,1.1658,5.5227,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_355.csv,93.2504,0.6134,0.9445,13.2773,12.6334,12.7031,11.4631,1.1939,10.9742,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_368.csv,93.6197,0.4806,0.9424,13.3104,13.3321,13.5883,11.6829,1.2963,9.5394,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_333.csv,93.7995,0.7621,0.9404,14.2453,12.7027,12.1492,12.1386,1.1902,10.2235,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_373.csv,96.0980,0.7402,0.9415,12.5942,13.5395,12.4000,12.7650,1.2030,12.4673,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_370.csv,96.9974,0.7681,0.9405,12.5532,11.6490,14.6162,11.0333,1.1408,14.8490,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_359.csv,98.5899,0.6116,0.9419,12.6174,14.2029,12.1040,13.9357,1.2397,13.4893,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_376.csv,99.4567,0.6850,0.9409,11.9361,14.2210,12.8069,13.4244,1.1817,14.8132,29.4474
